1,"Colgate","https://www.facebook.com/Colgate"
2,"Pepsodent","https://www.facebook.com/pepsodentindia/"
3,"Colgate India","https://www.facebook.com/ColgateIndia"
4,"Closeup","https://www.facebook.com/Closeup"
5,"Flipkart","https://www.facebook.com/flipkart"
6,"Snapdeal","https://www.facebook.com/Snapdeal"
7,"Amazon India","https://www.facebook.com/AmazonIN"
8,"LG India","https://www.facebook.com/lgindiapage"
9,"Samsung India","https://www.facebook.com/samsungIN"
10,"Onida","https://www.facebook.com/Onida.Live"
11,"Daikin India","https://www.facebook.com/DaikinIndia"
12,"IFB Appliances","https://www.facebook.com/IFBappliances"
13,"Titan","https://www.facebook.com/titanwatches"
14,"PC Jeweller","https://www.facebook.com/PCJINDIA"
15,"Horlicks","https://www.facebook.com/HorlicksIndia"
16,"Complan","https://www.facebook.com/complanforgrowth/"
17,"Boost","https://www.facebook.com/boostenergyindia/"
18,"Bournvita","https://www.facebook.com/CadburyBournvita"
